Total Energy,Kinetic Energy,Potential Energy,Psi4,OpenMM,Base Harmonic Bond Energy,Base Nonbonded Energy,Base C M Motion Remover,Base Harmonic Angle Energy,Correction Custom Nonbonded Energy
-235587.838348,6643.450348,-242231.288695,-200351.028576,-41880.260120,0.677067,-41988.156995,0.000000,0.150299,107.069508

-235587.002129,6692.272761,-242279.274889,-200353.412711,-41925.862179,0.000000,-42033.329880,0.000000,0.000000,107.467824

-235587.252101,6738.048351,-242325.300453,-200355.448579,-41969.851874,0.000000,-42077.330083,0.000000,0.000000,107.478331

-235587.350444,6777.243829,-242364.594273,-200355.695944,-42008.898330,0.000000,-42116.563904,0.000000,0.000000,107.665574

-235587.346838,6808.443010,-242395.789848,-200354.257128,-42041.532719,0.000000,-42149.833765,0.000000,0.000000,108.301045

-235587.387723,6831.623355,-242419.011078,-200352.804859,-42066.206219,0.000000,-42176.198706,0.000000,0.000000,109.992487

-235587.417951,6846.543928,-242433.961879,-200351.606489,-42082.355390,0.000000,-42194.695652,0.000000,0.000000,112.340262

-235587.370462,6852.977515,-242440.347977,-200350.636472,-42089.711506,0.000000,-42204.551015,0.000000,0.000000,114.839510

-235587.253858,6851.799904,-242439.053762,-200350.188690,-42088.865072,0.000000,-42205.287568,0.000000,0.000000,116.422496

-235587.167450,6844.672369,-242431.839819,-200351.379848,-42080.459971,0.000000,-42197.100144,0.000000,0.000000,116.640173

-235587.152136,6832.650141,-242419.802277,-200354.068803,-42065.733473,0.000000,-42180.895819,0.000000,0.000000,115.162345

Total Energy,Kinetic Energy,Potential Energy,Psi4,OpenMM,Base Harmonic Bond Energy,Base Nonbonded Energy,Base C M Motion Remover,Base Harmonic Angle Energy,Correction Custom Nonbonded Energy
-235587.838355,6643.450341,-242231.288695,-200351.028576,-41880.260120,0.677067,-41988.156995,0.000000,0.150299,107.069508

-235587.002309,6692.272747,-242279.275056,-200353.412711,-41925.862345,0.000000,-42033.330040,0.000000,0.000000,107.467817

-235587.251941,6738.048341,-242325.300281,-200355.448579,-41969.851702,0.000000,-42077.330034,0.000000,0.000000,107.478331

-235587.350269,6777.243823,-242364.594092,-200355.695944,-42008.898148,0.000000,-42116.563724,0.000000,0.000000,107.665576

-235587.346849,6808.443006,-242395.789855,-200354.257129,-42041.532726,0.000000,-42149.833763,0.000000,0.000000,108.301037

-235587.387640,6831.623352,-242419.010992,-200352.804859,-42066.206133,0.000000,-42176.198614,0.000000,0.000000,109.992482

-235587.417862,6846.543926,-242433.961788,-200351.606490,-42082.355298,0.000000,-42194.695556,0.000000,0.000000,112.340258

-235587.370410,6852.977513,-242440.347922,-200350.636472,-42089.711450,0.000000,-42204.550956,0.000000,0.000000,114.839506

-235587.253843,6851.799899,-242439.053742,-200350.188691,-42088.865052,0.000000,-42205.287571,0.000000,0.000000,116.422519

-235587.167397,6844.672374,-242431.839772,-200351.379849,-42080.459922,0.000000,-42197.100091,0.000000,0.000000,116.640168

-235587.152710,6832.650152,-242419.802862,-200354.068804,-42065.734058,0.000000,-42180.896418,0.000000,0.000000,115.162360

